"FullName","SizeMB"
"C:\Users\HB LAPTOP STORE\Documents\https-github.com-mahdialmuntadhar1-rgb-Halal\node_modules\@cloudflare\workerd-windows-64\bin\workerd.exe","86.29"
"C:\Users\HB LAPTOP STORE\Documents\https-github.com-mahdialmuntadhar1-rgb-Halal\node_modules\@img\sharp-win32-x64\lib\libvips-42.dll","18.23"
"C:\Users\HB LAPTOP STORE\Documents\https-github.com-mahdialmuntadhar1-rgb-Halal\node_modules\wrangler\wrangler-dist\cli.js","13.88"
"C:\Users\HB LAPTOP STORE\Documents\https-github.com-mahdialmuntadhar1-rgb-Halal\node_modules\wrangler\node_modules\@esbuild\win32-x64\esbuild.exe","11.13"
"C:\Users\HB LAPTOP STORE\Documents\https-github.com-mahdialmuntadhar1-rgb-Halal\node_modules\tsx\node_modules\@esbuild\win32-x64\esbuild.exe","11.13"
"C:\Users\HB LAPTOP STORE\Documents\https-github.com-mahdialmuntadhar1-rgb-Halal\node_modules\@esbuild\win32-x64\esbuild.exe","10.13"
"C:\Users\HB LAPTOP STORE\Documents\https-github.com-mahdialmuntadhar1-rgb-Halal\node_modules\lightningcss-win32-x64-msvc\lightningcss.win32-x64-msvc.node","9.06"
"C:\Users\HB LAPTOP STORE\Documents\https-github.com-mahdialmuntadhar1-rgb-Halal\node_modules\typescript\lib\typescript.js","8.65"
"C:\Users\HB LAPTOP STORE\Documents\https-github.com-mahdialmuntadhar1-rgb-Halal\node_modules\miniflare\dist\src\index.js.map","6.13"
"C:\Users\HB LAPTOP STORE\Documents\https-github.com-mahdialmuntadhar1-rgb-Halal\node_modules\typescript\lib\_tsc.js","5.89"
"C:\Users\HB LAPTOP STORE\Documents\https-github.com-mahdialmuntadhar1-rgb-Halal\node_modules\lucide-react\dist\umd\lucide-react.js.map","5.15"
"C:\Users\HB LAPTOP STORE\Documents\https-github.com-mahdialmuntadhar1-rgb-Halal\node_modules\lucide-react\dist\cjs\lucide-react.js.map","5.06"
